user_id,spot_id,dist,arr,dep
475,132,14.9807,16.1,17.9
308,258,2.86356,16.2,16.9
248,237,8.63539,16.2,17
283,26,7.50067,16.2,17.1
120,10,12.4036,16.2,17.9
10,269,14.9603,16.2,18.3
84,30,11.0136,16.2,18.9
245,294,9.60208,16.3,17.2
5,213,13.8463,16.3,18.2
135,91,3.46554,16.4,16.9
352,16,5.22015,16.4,17.4
175,79,7.18053,16.4,17.4
178,144,4.88365,16.4,18.8
385,204,4.90408,16.5,17.4
342,156,4.1,16.5,17.5
149,230,12.7016,16.5,18.7
269,44,1.72047,16.6,17.3
436,52,6.73573,16.7,18
300,140,3.38378,16.7,18.1
169,262,8.6539,16.7,18.5
219,220,4.01622,16.8,17.7
447,86,3.37343,16.8,18
312,205,7.78203,16.8,18.5
410,187,11.8224,16.8,19
129,69,4.66476,16.9,18.4
17,211,11.3004,16.9,18.8
223,270,14.3171,16.9,18.9
8,137,4.87955,17,17.7
492,57,10.3407,17,18.7
360,274,11.5109,17.1,18.2
70,246,17.7158,17.1,18.2
378,145,12.627,17.1,19.3
344,56,5.9808,17.2,18.1
18,117,3.17805,17.3,18.9
417,104,15.4149,17.3,19
102,112,2.54951,17.4,18.1
291,207,12.8035,17.6,18.7
416,53,16.1447,17.7,18.2
286,156,3.7855,17.7,18.4
368,273,11.1803,17.7,19
359,223,17.0414,17.9,18.9
489,280,5.94138,17.9,19.2
40,226,11.1803,18,18.7
349,236,5.21728,18.1,18.8
104,101,8.73613,18.1,19.8
275,109,11.9419,18.2,18.8
142,75,7.45453,18.2,18.9
260,62,11.9474,18.3,18.9
69,26,13.9043,18.5,19.4
381,38,3.44384,18.6,19.5
83,98,10.4393,18.6,19.7
165,103,17.7722,18.7,20.7
242,97,15.0333,18.8,19.9
406,171,8.64002,19.1,21.1
464,165,13.2699,19.4,20.3
119,76,6.57951,19.4,20.8
369,273,20.4267,19.5,20.2
345,157,9.6,19.6,21.3
419,125,9.10879,19.9,22
